Timestamp,Score,uid,time,name,target,info,state,version
11/6/2022 17:50:11,,Windows-Chrome-3045230429706778,1667778610649,mousedown,input#nextbutton,"{""which"":1,""pageX"":887,""pageY"":441}",#puzzle=0400000300200100&answer=&work=&seed=9&gentime=1667778610647&elapsed=0&size=2,B
11/6/2022 17:50:11,,Windows-Chrome-3045230429706778,1667778610646,setupgame,document,"{""seed"":9}",#puzzle=0020300010000030&answer=&work=&seed=8&gentime=1667778607949&elapsed=0&size=2,B
11/6/2022 17:50:11,,Windows-Chrome-3045230429706778,1667778610830,mousedown,input#nextbutton,"{""which"":1,""pageX"":887,""pageY"":441}",#puzzle=0000120020000030&answer=&work=&seed=10&gentime=1667778610828&elapsed=0&size=2,B
11/6/2022 17:50:11,,Windows-Chrome-3045230429706778,1667778610826,setupgame,document,"{""seed"":10}",#puzzle=0400000300200100&answer=&work=&seed=9&gentime=1667778610647&elapsed=0&size=2,B
11/6/2022 17:50:12,,Windows-Chrome-3045230429706778,1667778611022,setupgame,document,"{""seed"":11}",#puzzle=0000120020000030&answer=&work=&seed=10&gentime=1667778610828&elapsed=0&size=2,B
11/6/2022 17:50:12,,Windows-Chrome-3045230429706778,1667778611025,mousedown,input#nextbutton,"{""which"":1,""pageX"":887,""pageY"":441}",#puzzle=3004000040320000&answer=&work=&seed=11&gentime=1667778611024&elapsed=0&size=2,B
11/6/2022 17:50:12,,Windows-Chrome-3045230429706778,1667778611219,mousedown,input#nextbutton,"{""which"":1,""pageX"":887,""pageY"":441}",#puzzle=0031000000003012&answer=&work=&seed=12&gentime=1667778611218&elapsed=0&size=2,B
11/6/2022 17:50:12,,Windows-Chrome-3045230429706778,1667778611216,setupgame,document,"{""seed"":12}",#puzzle=3004000040320000&answer=&work=&seed=11&gentime=1667778611024&elapsed=0&size=2,B
11/6/2022 17:50:12,,Windows-Chrome-3045230429706778,1667778611422,setupgame,document,"{""seed"":13}",#puzzle=0031000000003012&answer=&work=&seed=12&gentime=1667778611218&elapsed=0&size=2,B
11/6/2022 17:50:12,,Windows-Chrome-3045230429706778,1667778611424,mousedown,input#nextbutton,"{""which"":1,""pageX"":887,""pageY"":441}",#puzzle=0200100300000014&answer=&work=&seed=13&gentime=1667778611423&elapsed=0&size=2,B
